Dataset,Dataset_Size,Mode,Memory_Ratio,Threads,Actual_Threads,Cycles,Instructions,Instructions_Per_Cycle,Memory_Accesses,CPU_Usage,Swap_Activity,IO_Performance,Context_Switches,Run_Queue_Length,Time_Elapsed,Page_Faults,Memory_Swap,Page_Allocations,Disk_Wait
amazon_Office_Products,.640,MERCI,1.25,128,,278579856754,63645516530,.228,1715075493,,,,12379,,3.822973685,183391982,0,231055786,187650
amazon_Office_Products,.640,MERCI,1.25,256,,436262676450,67926285751,.155,1678268272,,,,17918,,4.195854071,183494789,0,231356746,187855
amazon_Office_Products,.640,MERCI,1.5,32,,176383259197,59138597643,.335,1500203095,,,,8186,,3.906432795,183593493,0,231663142,188051
amazon_Office_Products,.640,MERCI,1.5,64,,233690212476,60960774335,.260,1606218976,,,,9885,,3.921782796,183698684,0,231970718,188264
amazon_Office_Products,.640,MERCI,1.5,128,,249366770532,59552891632,.238,1591267934,,,,12136,,4.081212202,183799599,0,232277182,188513
amazon_Office_Products,.640,MERCI,1.5,256,,400410145652,63131184815,.157,1574178826,,,,17915,,4.170021370,183905027,0,232583614,188737
amazon_Office_Products,.640,MERCI,2.0,32,,204828731191,61310226703,.299,1541859701,,,,8239,,3.941129225,184002751,0,232888558,188920
amazon_Office_Products,.640,MERCI,2.0,64,,251129988072,62184873559,.247,1589803274,,,,10083,,3.994016898,184104182,0,233193518,189113
amazon_Office_Products,.640,MERCI,2.0,128,,317689866926,65653797241,.206,1528129883,,,,12709,,3.912799522,184203922,0,233498446,189300
amazon_Office_Products,.640,MERCI,2.0,256,,436283682220,65538511446,.150,1511074285,,,,18331,,4.011961086,184312127,0,233807746,189518
amazon_Office_Products,.640,MERCI,9.0,32,,239653277612,65806021721,.274,1487192059,,,,8523,,4.304793113,184407692,0,234119098,189707
amazon_Office_Products,.640,MERCI,9.0,64,,224193956891,60830646897,.271,1471263031,,,,9986,,4.260740738,184508567,0,234430410,189890
amazon_Office_Products,.640,MERCI,9.0,128,,316293213759,67097261423,.212,1422013826,,,,13074,,4.276365325,184606585,0,234741710,190074
amazon_Office_Products,.640,MERCI,9.0,256,,492456610293,73997287142,.150,1506556291,,,,18491,,4.907029518,184714963,0,235053066,190274
amazon_Home_and_Kitchen,2.517,MERCI,1.25,32,,344464571997,132483863310,.384,3842207677,,,,10599,,10.475322386,184917610,0,235839562,190777
amazon_Home_and_Kitchen,2.517,MERCI,1.25,64,,492531017880,133985846912,.272,3924191861,,,,12184,,11.017228903,185130691,0,236624890,191301
amazon_Home_and_Kitchen,2.517,MERCI,1.25,128,,810370559368,140797170574,.173,3791012270,,,,14812,,10.272053217,185331850,0,237410098,191834
amazon_Home_and_Kitchen,2.517,MERCI,1.25,256,,1536562959726,160758345236,.104,3834935732,,,,21082,,11.414275652,185541695,0,238195318,192408
amazon_Home_and_Kitchen,2.517,MERCI,1.5,32,,322093025328,129214007391,.401,3983163182,,,,10986,,11.671105877,185747430,0,238974930,192911
